PairID,Text,Pred_Score
ARQ-test-0001,"راسي يوجع بالصح ما رانيش حاب نرقد
 جوايه لحداش هكاك نرقد الوقت هداك هو",0.9976693987846375
ARQ-test-0002,"راه قريب يغلق شهر
 بابا بالخميس راح لتبسة",0.992143452167511
ARQ-test-0003,"أني نمدهولك ما على باليش بلاك نمدهولك لعشية على الساعتين
 هاه ولا الوحدة و نص أي كل مرة كيفماه",0.9914738535881042
ARQ-test-0004,"يعود هو يحشم منك يحشم يدير حاجة ماشي مليحة
 والله دوك راني ندير في الاستدعاءات عندي زوج تلاميد",0.9973986744880676
ARQ-test-0005,"لاباس و انت لاباس أكي بخير
 والله الحمد لله يسقسي عليك الخير",0.9953902959823608
ARQ-test-0006,"ما تخافوش درك نهربوا منهم ما تخافوش
 ما تخافيش رشيدة بنتي ما تخافيش",0.9903825521469116
ARQ-test-0007,"وش من عام
 ﭘﺮوميار اني إينيڢارسيتار",0.996832549571991
ARQ-test-0008,"على بالك وش غاضني خلاه كي روﭘﻮرتاولك لاسوتنونس
 غاضني حمص دوبل زيت و الغدا في الريستورن",0.9920873641967773
ARQ-test-0009,"فوور خويا شمسو توجوور
 بزااف فور فور فور روعة",0.9950402975082397
ARQ-test-0010,"ماشي مشكل
 يسكن هنا",0.9990740418434143
ARQ-test-0011,"أسمعي ما خلصتنيش
 خفت يحكمك الجن",0.9950546622276306
ARQ-test-0012,"يديوها غدوة غدوة حتي يفض العام
 هادي هي يقراو غير شهرين ولا تلاتة",0.9804651141166687
ARQ-test-0013,"صح على بالي و تاني باش يموتڢينا
 كيما بكري نقراو كي نشوفو الشيخ",0.9924566149711609
ARQ-test-0014,"دارو أكسيدون
 كاين الغاشي",0.9832059741020203
ARQ-test-0015,"دير وش دير اﻟﻤﻄﻠﭭﺔ ﻣﻄﻠﭭﺔ
 ما حكيتليش لحكاية أدي قبل",0.9897940158843994
ARQ-test-0016,"افضل حلقة فور صالح اوقرت كمل هكدا
 يعطيك الصحة جربتو جاني روعة رابي يحفضاك",0.9969539642333984
ARQ-test-0017,"قعدﺖ مع الهادي برا
 عمبالو خو مريم سارڢور",0.9951716661453247
ARQ-test-0018,"روعة يعطيك الصحة اليوم نديرها انشاء الله شكرا ام وليد
 ام وليد يعطيك الصحة ماعليش ديرينا دزيريات شكرا",0.9965446591377258
ARQ-test-0019,"هاديك العين حق بالصح ما تقدرش تفسرها حاجة ربي
 تسمى هادو الحوايج لي خلاهم ربي أﻣﭙﻮسيبل توصللهم",0.985051155090332
ARQ-test-0020,"قنبلة خويا لطفي كالعادة
 روعة كي العادة لطفي",0.9913811087608337
ARQ-test-0021,"و هدوك منين جاو
 من الجامعة كانو ديزلاڢ",0.998826801776886
ARQ-test-0022,"شفتي أنت أو مام تسحر تغسل فمك تبقى نايض أي ما تجيش الراحة
 و كي تسحر ومام تغسل فمك و ترﭬﺪ و تنوض فمك في حالة",0.9953007698059082
ARQ-test-0023,"أنا من دوك ما لقيتش حسابي
 اللولة واعرة تاع المروك و تونس شوية",0.9902197122573853
ARQ-test-0024,"بيان سور سليمة ، ربي يشفيك
 نروحو ڤاع سليمة أنا تاني عييت",0.9940066337585449
ARQ-test-0025,"أسمعي حتى لعراس فضو باه نتلاڤاو شفتي
 شفتي والله أنا عندي العرس تاع عبد النور",0.9918745160102844
ARQ-test-0026,"حتى الدرك حكينا على كلش حتى على لا بولتيك
 أنا البارح بديت نكتب لي ايمايل تيعك بالعربية",0.9873435497283936
ARQ-test-0027,"الجن الجن يعشي يتمسخر بهداك المرقي
 يعرف لي ﭘﻮان فابل تاع العباد",0.9928945302963257
ARQ-test-0028,"ڤالت لي العام الجديد تخلصي سيموا
 ڤالت لي لازم ترﻳڤال لي لوﭘﺮوبلام",0.9948715567588806
ARQ-test-0029,"يا ماشي مالفة نكبر هكا
 راح تكبري حبيتي ولا كرهت",0.9967116117477417
ARQ-test-0030,"ﻟقيت مرت جمال تما
 العجوزة و الشيخ وحدهم",0.9985788464546204
ARQ-test-0031,"ما على باليش أني عيط لها درك
 و اليوم مالا وش رحتي درتي",0.9936951994895935
ARQ-test-0032,"ﭬﺎتلهم جامي شفتكم
 خزرت معاهم أنا",0.9939268231391907
ARQ-test-0033,"هه ايا عليلو ايا عليلو واش كاين فما
 ربي يعاونك خويا شمسو الله يرحم جميع الوالدين صحا رمضانكم",0.9780774116516113
ARQ-test-0034,"أديكا الزرﭬﺔ لي القرعة تحا زرﭬﺔ
 والله ما عرفتها و فضت أديكا درك",0.9950993061065674
ARQ-test-0035,"ڤالت لي و يموت على يكوپي
 ﭬﺎتلها خديجة أه مليك يخرج حاجة",0.9980239868164062
